J Voltage (V),Q Voltage (V),Q Logic State
0.0,+126.14E-3,L
0.05,+126.13E-3,L
0.1,+126.12E-3,L
0.15,+126.12E-3,L
0.2,+126.12E-3,L
0.25,+126.11E-3,L
0.3,+126.09E-3,L
0.35,+126.08E-3,L
0.4,+126.09E-3,L
0.45,+126.09E-3,L
0.5,+126.08E-3,L
0.55,+126.05E-3,L
0.6,+126.03E-3,L
0.65,+126.07E-3,L
0.7,+126.08E-3,L
0.75,+126.06E-3,L
0.8,+126.05E-3,L
0.85,+126.06E-3,L
0.9,+126.10E-3,L
0.95,+4.413E+0,H
1.0,+4.412E+0,H
1.05,+4.412E+0,H
1.1,+4.412E+0,H
1.15,+4.413E+0,H
1.2,+4.412E+0,H
1.25,+4.413E+0,H
1.3,+4.412E+0,H
1.35,+4.413E+0,H
1.4,+4.412E+0,H
1.45,+4.412E+0,H
1.5,+4.412E+0,H
