J Voltage (V),Q Voltage (V),Q Logic State
1.0,+126.62E-3,L
0.95,+4.410E+0,H
0.9,+126.60E-3,L
0.85,+4.410E+0,H
0.8,+126.56E-3,L
0.75,+4.410E+0,H
0.7,+126.47E-3,L
0.65,+4.410E+0,H
0.6,+126.47E-3,L
0.55,+4.410E+0,H
0.5,+126.47E-3,L
0.45,+126.44E-3,L
0.4,+126.43E-3,L
0.35,+126.45E-3,L
0.3,+126.46E-3,L
0.25,+126.42E-3,L
0.2,+126.38E-3,L
0.15,+126.33E-3,L
0.1,+126.27E-3,L
0.05,+126.19E-3,L
0.0,+126.12E-3,L
