J Voltage (V),Q Voltage (V),Q Logic State
1.0,+126.61E-3,L
0.95,+4.410E+0,H
0.9,+126.57E-3,L
0.85,+4.410E+0,H
0.8,+126.55E-3,L
0.75,+4.411E+0,H
0.7,+126.53E-3,L
0.65,+4.411E+0,H
0.6,+126.47E-3,L
0.55,+126.49E-3,L
0.5,+126.46E-3,L
0.45,+126.44E-3,L
0.4,+126.47E-3,L
0.35,+126.49E-3,L
0.3,+126.46E-3,L
0.25,+126.42E-3,L
0.2,+126.41E-3,L
0.15,+126.39E-3,L
0.1,+126.33E-3,L
0.05,+126.22E-3,L
0.0,+126.16E-3,L
