J Voltage (V),Q Voltage (V),Q Logic State
1.0,+126.64E-3,L
0.95,+4.410E+0,H
0.9,+126.57E-3,L
0.85,+4.410E+0,H
0.8,+126.53E-3,L
0.75,+4.411E+0,H
0.7,+126.48E-3,L
0.65,+4.410E+0,H
0.6,+126.47E-3,L
0.55,+126.47E-3,L
0.5,+126.47E-3,L
0.45,+126.42E-3,L
0.4,+126.45E-3,L
0.35,+126.40E-3,L
0.3,+126.41E-3,L
0.25,+126.38E-3,L
0.2,+126.39E-3,L
0.15,+126.37E-3,L
0.1,+126.28E-3,L
0.05,+126.17E-3,L
0.0,+126.11E-3,L
