Time (s),Voltage (V)
-2.0639999999999998e-08,5.08
-2.06e-08,5.08
-2.056e-08,5.08
-2.0519999999999998e-08,5.08
-2.0479999999999995e-08,5.08
-2.0439999999999996e-08,5.08
-2.0399999999999997e-08,5.08
-2.036e-08,5.08
-2.032e-08,5.08
-2.028e-08,5.08
-2.0239999999999998e-08,5.08
-2.0199999999999996e-08,5.08
-2.0159999999999997e-08,5.08
-2.0119999999999998e-08,5.08
-2.008e-08,5.08
-2.004e-08,5.04
-1.9999999999999997e-08,5.04
-1.9959999999999998e-08,5.04
-1.9919999999999996e-08,5.04
-1.9879999999999997e-08,5.04
-1.9839999999999998e-08,5.04
-1.98e-08,5.04
-1.976e-08,5.04
-1.9719999999999997e-08,5.04
-1.9679999999999998e-08,5.04
-1.9639999999999996e-08,5.04
-1.9599999999999997e-08,5.04
-1.9559999999999998e-08,5.04
-1.952e-08,5.04
-1.948e-08,5.04
-1.9439999999999997e-08,5.04
-1.94e-08,5.04
-1.9359999999999996e-08,5.04
-1.9319999999999997e-08,5.04
-1.9279999999999998e-08,5.04
-1.924e-08,5.04
-1.92e-08,5.04
-1.9159999999999998e-08,5.04
-1.912e-08,5.04
-1.9079999999999996e-08,5.04
-1.9039999999999997e-08,5.04
-1.8999999999999998e-08,5.04
-1.896e-08,5.04
-1.892e-08,5.04
-1.8879999999999998e-08,5.04
-1.884e-08,5.04
-1.8799999999999996e-08,5.0
-1.8759999999999997e-08,5.0
-1.8719999999999998e-08,5.0
-1.868e-08,5.0
-1.864e-08,5.0
-1.8599999999999998e-08,5.0
-1.856e-08,5.0
-1.8519999999999996e-08,5.0
-1.8479999999999997e-08,5.04
-1.844e-08,5.04
-1.84e-08,5.04
-1.836e-08,5.04
-1.8319999999999998e-08,5.04
-1.8279999999999996e-08,5.04
-1.8239999999999997e-08,5.04
-1.8199999999999998e-08,5.04
-1.816e-08,5.04
-1.812e-08,5.04
-1.808e-08,5.04
-1.8039999999999998e-08,5.04
-1.7999999999999996e-08,5.04
-1.7959999999999997e-08,5.04
-1.7919999999999998e-08,5.04
-1.788e-08,5.04
-1.784e-08,5.04
-1.7799999999999997e-08,5.04
-1.7759999999999998e-08,5.04
-1.7719999999999996e-08,5.04
-1.7679999999999997e-08,5.04
-1.7639999999999998e-08,5.04
-1.76e-08,5.04
-1.756e-08,5.04
-1.7519999999999997e-08,5.04
-1.748e-08,5.04
-1.7439999999999996e-08,5.04
-1.7399999999999997e-08,5.04
-1.7359999999999998e-08,5.04
-1.732e-08,5.04
-1.728e-08,5.04
-1.7239999999999998e-08,5.08
-1.72e-08,5.08
-1.7159999999999996e-08,5.08
-1.7119999999999997e-08,5.08
-1.7079999999999998e-08,5.08
-1.704e-08,5.08
-1.7e-08,5.08
-1.6959999999999998e-08,5.08
-1.692e-08,5.08
-1.6879999999999996e-08,5.08
-1.6839999999999997e-08,5.08
-1.6799999999999998e-08,5.08
-1.676e-08,5.08
-1.672e-08,5.08
-1.6679999999999998e-08,5.08
-1.664e-08,5.08
-1.6599999999999996e-08,5.08
-1.6559999999999997e-08,5.08
-1.652e-08,5.08
-1.648e-08,5.08
-1.644e-08,5.08
-1.6399999999999998e-08,5.08
-1.636e-08,5.08
-1.6319999999999997e-08,5.12
-1.6279999999999998e-08,5.12
-1.624e-08,5.12
-1.62e-08,5.12
-1.616e-08,5.12
-1.6119999999999998e-08,5.12
-1.6079999999999996e-08,5.12
-1.6039999999999997e-08,5.12
-1.5999999999999998e-08,5.12
-1.596e-08,5.12
-1.592e-08,5.12
-1.588e-08,5.12
-1.5839999999999998e-08,5.12
-1.5799999999999996e-08,5.12
-1.5759999999999997e-08,5.12
-1.5719999999999998e-08,5.12
-1.568e-08,5.12
-1.564e-08,5.12
-1.5599999999999997e-08,5.12
-1.556e-08,5.12
-1.5519999999999996e-08,5.12
-1.5479999999999997e-08,5.12
-1.5439999999999998e-08,5.12
-1.54e-08,5.12
-1.536e-08,5.12
-1.5319999999999998e-08,5.12
-1.528e-08,5.12
-1.5239999999999996e-08,5.12
-1.5199999999999997e-08,5.12
-1.5159999999999998e-08,5.12
-1.512e-08,5.12
-1.5079999999999997e-08,5.12
-1.5039999999999998e-08,5.12
-1.5e-08,5.08
-1.496e-08,5.08
-1.4919999999999997e-08,5.08
-1.4879999999999998e-08,5.08
-1.484e-08,5.08
-1.4799999999999997e-08,5.08
-1.4759999999999998e-08,5.08
-1.4719999999999999e-08,5.08
-1.468e-08,5.08
-1.4639999999999997e-08,5.08
-1.4599999999999998e-08,5.08
-1.456e-08,5.08
-1.4519999999999997e-08,5.08
-1.4479999999999998e-08,5.08
-1.4439999999999999e-08,5.08
-1.44e-08,5.08
-1.4359999999999998e-08,5.08
-1.4319999999999999e-08,5.08
-1.428e-08,5.08
-1.4239999999999997e-08,5.08
-1.4199999999999998e-08,5.08
-1.4159999999999999e-08,5.08
-1.4119999999999997e-08,5.08
-1.4079999999999998e-08,5.08
-1.4039999999999999e-08,5.08
-1.4e-08,5.08
-1.3959999999999997e-08,5.08
-1.3919999999999998e-08,5.08
-1.388e-08,5.08
-1.3839999999999997e-08,5.08
-1.3799999999999998e-08,5.08
-1.3759999999999999e-08,5.08
-1.372e-08,5.08
-1.3679999999999997e-08,5.08
-1.3639999999999998e-08,5.08
-1.36e-08,5.08
-1.3559999999999997e-08,5.08
-1.3519999999999998e-08,5.08
-1.3479999999999999e-08,5.08
-1.344e-08,5.08
-1.3399999999999998e-08,5.08
-1.3359999999999999e-08,5.08
-1.332e-08,5.08
-1.3279999999999997e-08,5.12
-1.3239999999999998e-08,5.12
